# ПРЕДЛОЖЕНИЕ разбора кандидатов. Проверь и поправь, потом: python3 group_candidates.py --apply
# всего кандидатов: 2377; предложено: 1215; осталось в candidate: 1161
# способ: точное совпадение id/имени с уже разобранными (567) + ключевые слова (648)
# столбцы: решение<TAB>имя<TAB>целевой_файл<TAB>группа<TAB>основание
#   решение: move (перенести) или skip (оставить в candidate)
#   можно менять целевой_файл (index.m3u/cinema.m3u) и группу
#
#  390  index.m3u   Спорт
#  158  cinema.m3u  Кино
#   94  index.m3u   Детские
#   76  index.m3u   Музыка
#   75  index.m3u   Познавательные
#   38  index.m3u   Общественные
#   38  index.m3u   Путешествия
#   38  index.m3u   Сериалы
#   32  index.m3u   Развлекательные
#   29  index.m3u   Природа
#   28  index.m3u   Футбол
#   24  index.m3u   Новости
#   22  index.m3u   Матч!
#   19  cinema.m3u  Viju (Viasat)
#   19  index.m3u   Юмор
#   16  index.m3u   Кулинария
#   13  cinema.m3u  Fresh
#   13  index.m3u   Бокс и единборства
#   11  index.m3u   Авто и мотоспорт
#   11  index.m3u   Охота и Рыбалка
#    9  index.m3u   Дача и ремонт
#    9  index.m3u   НТВ
#    8  cinema.m3u  CineMan
#    8  index.m3u   Религия и изотерика
#    7  index.m3u   Мода
#    7  index.m3u   Региональные
#    5  index.m3u   Здоровье
#    5  index.m3u   Космос
#    4  index.m3u   Бизнес
#    4  index.m3u   Культура
#    3  index.m3u   Зарубежные
#    2  cinema.m3u  BCU
#
move	Кинозал 4 (Триколор)	cinema.m3u	Кино	kw:кино
move	Кинозал 5 (Триколор)	cinema.m3u	Кино	kw:кино
move	Кинозал 6 (Триколор)	cinema.m3u	Кино	kw:кино
move	Кинозал 7 (Триколор)	cinema.m3u	Кино	kw:кино
move	Кинозал 8 (Триколор)	cinema.m3u	Кино	kw:кино
move	Кинозал 9 (Триколор)	cinema.m3u	Кино	kw:кино
move	Кинокомедия HD	cinema.m3u	Кино	ref:id
move	Кинокомедия orig	cinema.m3u	Кино	ref:id
move	КиноКульт HD	cinema.m3u	Кино	kw:кино
move	Киноман	cinema.m3u	Кино	kw:кино
move	Киноман orig	cinema.m3u	Кино	kw:кино
move	Киномикс HD	cinema.m3u	Кино	ref:id
move	Киномикс orig	cinema.m3u	Кино	ref:id
move	КиноМульт	cinema.m3u	Кино	kw:кино
move	Кинопоказ HD	cinema.m3u	Кино	ref:name
move	Кинопоказ HD orig	cinema.m3u	Кино	ref:name
move	Кинопремьера HD orig	cinema.m3u	Кино	ref:id
move	Киносвидание HD	cinema.m3u	Кино	ref:id
move	Киносвидание orig	cinema.m3u	Кино	ref:id
move	КиноСезон HD	cinema.m3u	Кино	ref:id
move	Киносемья HD	cinema.m3u	Кино	ref:id
move	Киносемья HD orig	cinema.m3u	Кино	ref:id
move	Киносерия HD	cinema.m3u	Кино	ref:id
move	Киносерия orig	cinema.m3u	Кино	ref:id
move	Киноужас HD	cinema.m3u	Кино	ref:id
move	Киноужас HD orig	cinema.m3u	Кино	ref:id
move	Кинохит HD	cinema.m3u	Кино	ref:id
move	Кинохит orig	cinema.m3u	Кино	ref:id
move	Комедийное HD	cinema.m3u	Кино	ref:name
move	Комедийное HD orig	cinema.m3u	Кино	ref:name
move	Комедия orig	cinema.m3u	Кино	ref:id
move	Любимое Кино	cinema.m3u	Кино	kw:кино
move	Любимое Кино HD	cinema.m3u	Кино	kw:кино
